Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index
2018-12-06,141.984717,439.134246,144.535945,14937.0,21.19,75.542,0.1955,-0.25845,5.9,-0.382,-0.28,0.99,118.1214928385354,177.27936058974043,110.30799622894386
2018-12-07,141.950921,439.339336,144.181537,14795.13,23.23,74.661,0.20363,-0.26439,5.9,-0.2938,-0.31,0.99,118.07796672654925,177.31866093450205,110.34047757384138
2018-12-10,143.388064,445.292162,145.060688,14728.28,22.64,74.602,0.20162,-0.26307,5.9,-0.2938,-0.31,0.99,118.02214432668382,176.97641039157793,110.28857102215807
2018-12-11,144.114984,438.497567,143.423684,14667.83,21.76,72.398,0.18063,-0.19403,5.9,-0.2938,-0.31,0.99,117.99382882432786,177.4940621734382,110.4663628725561
2018-12-12,142.891307,429.958091,141.16658,14783.06,21.46,71.946,0.17973,-0.187,5.9,-0.2938,-0.31,0.99,118.05857334857004,178.08146282987542,110.69089404514814
2018-12-13,141.995534,428.752521,139.639172,14750.35,20.65,75.474,0.16418,-0.24835,5.9,-0.2925,-0.31,0.99,118.13089391497036,178.07939579988795,110.82615753720012
2018-12-14,141.212465,435.856118,139.893619,14595.07,21.63,72.401,0.17037,-0.24711,5.9,-0.2555,-0.35,0.99,118.15875435315127,177.61260580771918,110.79982571596553
2018-12-17,142.522809,446.62708,140.495752,14362.65,24.52,72.436,0.13867,-0.24587,5.9,-0.2682,-0.35,0.99,118.11611806481447,176.9513579167299,110.75162540093957
2018-12-18,143.416004,463.360196,141.5966,14416.89,25.58,67.839,0.18054,-0.24464,5.9,-0.1818,-0.35,0.99,118.07255253782105,175.8914338481587,110.64984139141313
2018-12-19,143.924284,473.978104,142.50178,14264.06,25.58,58.125,0.19973,-0.24342,5.9,-0.1482,-0.35,0.99,118.05016361928803,175.1740120075101,110.53151342045346
2018-12-20,144.741146,508.216526,146.013563,14141.77,28.38,65.942,0.20455,-0.2422,5.9,-0.1561,-0.35,0.99,117.95610866235448,173.06634114029384,110.22524473486885
2018-12-21,145.680544,513.435478,147.554653,13935.44,30.11,64.476,0.17677,-0.18749,5.9,-0.1655,-0.41,0.99,117.8970733421981,172.6827767726203,110.07740040833754
2018-12-24,146.62544,529.677444,149.482472,13780.19,36.07,61.03,0.17608,-0.18655,5.9,-0.1655,-0.41,0.99,117.81913554006233,171.70827744853096,109.89695817435125
2018-12-25,146.62544,529.677444,149.482472,13780.19,36.07,58.355,0.1752,-0.18562,5.9,-0.1655,-0.41,0.99,117.81913554006233,171.70827744853096,109.89695817435125
2018-12-26,146.507763,529.834465,149.635746,13780.19,30.41,63.427,0.13453,-0.15904,5.9,-0.1655,-0.41,0.99,117.82697196014742,171.87753471750435,109.9005591652043
2018-12-27,146.952312,531.177697,151.506652,14165.21,29.96,64.645,0.11555,-0.15824,5.9,-0.1816,-0.41,0.99,117.81579840277871,171.73004552339893,109.72015540817873
2018-12-28,147.707539,523.204295,151.374048,14222.0,28.34,63.878,0.12677,-0.15745,5.9,-0.1895,-0.41,0.99,117.7484357665374,172.25802353019657,109.72138440757105
2018-12-31,148.281999,526.902688,152.920367,14322.86,25.42,64.68,0.09046,-0.15667,5.0,-0.1895,-0.41,0.98,117.67850159966915,172.10912954109966,109.60648541281651
2019-01-01,148.281999,526.902688,152.920367,14322.86,25.42,56.619,0.09001,-0.15588,5.0,-0.1895,-0.41,0.98,117.67850159966915,172.10912954109966,109.60648541281651
2019-01-02,149.334087,527.140921,153.288397,14347.16,23.22,53.18,0.08956,-0.1551,5.0,-0.1895,-0.41,0.98,117.67141617708783,172.1211169419722,109.61372930543745
2019-01-03,149.985935,537.302121,156.351252,14212.75,25.45,49.556,0.07421,-0.17118,5.0,-0.1375,-0.41,0.98,117.60244480730026,171.48838182249247,109.3425135376077
2019-01-04,150.010361,498.434982,154.544311,14426.62,21.38,57.016,0.08637,-0.1495,5.0,-0.0643,-0.31,0.98,117.66039205505797,174.01056710899158,109.5175638633308
2019-01-07,149.214051,472.660356,152.374593,14504.13,21.4,57.378,0.07979,-0.14876,5.0,-0.0643,-0.31,0.98,117.7159268935329,175.54740009140718,109.76085628293679
2019-01-08,148.098834,456.690834,150.223152,14605.15,20.47,56.612,0.09395,-0.14801,5.0,-0.0635,-0.31,0.98,117.81872494860528,176.74434335934856,109.97828486017988
2019-01-09,145.888662,445.167601,146.765853,14804.73,19.98,56.503,0.09348,-0.14727,5.0,-0.0635,-0.31,0.98,117.96804955285513,177.56959803004165,110.27016035444508
2019-01-10,145.435796,444.433008,146.807385,14903.49,19.5,63.004,0.09574,-0.14654,5.0,-0.0617,-0.31,0.98,118.01299803332616,177.61983496386338,110.2171108155053
2019-01-11,144.747922,444.41403,146.371596,14939.18,18.19,61.151,0.09526,-0.14198,5.0,-0.0617,-0.5,0.98,118.05001380600432,177.53774751452877,110.23923598065072
2019-01-14,145.014344,450.281814,146.989546,14975.53,19.07,63.341,0.09478,-0.14127,5.0,-0.0617,-0.5,0.98,118.06247713610874,177.31574394833368,110.16786571767418
2019-01-15,144.054377,445.901941,144.952652,15046.28,18.6,63.788,0.08567,-0.23263,5.0,-0.0617,-0.5,0.98,118.12082331398686,177.4919355064275,110.15776657610823
2019-01-16,142.748357,435.890287,142.602764,15111.26,19.04,64.597,0.0962,-0.20476,5.0,-0.0351,-0.5,0.98,118.22728587759907,178.16523674774007,110.34755678198964
2019-01-17,140.983348,432.223588,141.029626,15211.22,18.06,66.716,0.10898,-0.20373,5.0,-0.0359,-0.5,0.98,118.34566103592823,178.37380203310056,110.45532407057725
2019-01-18,138.780742,419.036808,136.191811,15303.83,17.8,69.616,0.11686,-0.20272,5.0,-0.0226,-0.31,0.98,118.5245453029949,179.22954583609186,110.8718868065832
2019-01-21,138.780742,419.036808,136.191811,15354.16,17.8,69.616,0.11628,-0.2017,5.0,-0.0226,-0.31,0.98,118.5245453029949,179.22954583609186,110.8718868065832
2019-01-22,138.137082,429.632387,135.63452,15233.76,20.8,65.318,0.07316,-0.20069,5.0,-0.0391,-0.31,0.98,118.60951859542996,178.61559987028414,110.92620668468895
2019-01-23,137.384546,431.694952,133.22077,15208.33,19.52,65.709,0.07279,-0.194,5.0,-0.0391,-0.31,0.98,118.66785888938304,178.6627491663219,111.09742516768202
2019-01-24,137.050147,437.194765,132.589578,15280.78,18.89,66.543,0.08385,-0.19303,5.0,-0.028,-0.31,0.98,118.70460047115247,178.27549157721538,111.13159937376886
2019-01-25,135.626272,426.545711,130.170682,15366.05,17.42,68.536,0.08343,-0.19207,5.0,-0.028,-0.31,0.98,118.77144656720115,178.94127337065828,111.3220417382385
2019-01-28,135.4709,430.4179,129.9282,15378.62,18.87,67.781,0.08958,-0.19111,5.0,-0.028,-0.31,0.98,118.79842083333784,178.68695631539188,111.33009671885148
2019-01-29,134.9269,431.5209,129.4703,15463.14,19.13,63.013,0.0775,-0.21776,5.0,-0.028,-0.31,0.98,118.82895605093292,178.6125139535915,111.36832855702832
2019-01-30,133.087,428.0103,128.7164,15484.55,17.66,61.233,0.06132,-0.21667,5.0,-0.0488,-0.31,0.98,118.9378157256227,178.75964144297967,111.41187411761797
2019-01-31,131.563,421.3804,126.7332,15540.6,16.57,59.892,0.07936,-0.23402,4.0,-0.0359,-0.31,0.95,119.06652776353236,179.13003922175636,111.6111025379583
2019-02-01,131.0497,415.4469,125.9419,15506.3,16.14,62.907,0.12798,-0.27561,4.0,-0.0442,-0.26,0.95,119.18710586341145,179.72603592644427,111.81556028371766
2019-02-04,130.1811,410.611,124.5084,15602.32,15.73,66.866,0.08574,-0.27423,4.0,-0.0682,-0.26,0.95,119.24187343805593,180.07437964136156,111.95355375278756
2019-02-05,128.906,401.6628,122.4235,15702.69,15.57,62.155,0.08258,-0.27286,4.0,-0.0682,-0.26,0.95,119.31996253814745,180.59652776074591,112.15433858522073
2019-02-06,128.9214,399.611,122.9993,15712.31,15.38,61.296,0.10737,-0.27149,4.0,-0.0682,-0.26,0.95,119.32749749260486,180.74785127071235,112.09450440483386
2019-02-07,130.2332,415.0223,125.3149,15703.36,16.37,58.518,0.10368,-0.27014,4.0,-0.101,-0.26,0.95,119.25923690096697,179.89494038399332,111.88327297827598
2019-02-08,130.1329,421.0858,125.8677,15633.33,15.72,55.576,0.10316,-0.26879,4.0,-0.101,-0.22,0.95,119.27425856169614,179.59765284235436,111.83759885973963
2019-02-11,129.9428,414.9123,125.3105,15568.85,15.97,56.009,0.10265,-0.26744,4.0,-0.101,-0.22,0.95,119.2836045882932,179.87823030860613,111.8915712852866
2019-02-12,129.3092,405.0443,124.2387,15642.1,15.43,59.509,0.10878,-0.2661,4.0,-0.101,-0.22,0.95,119.31252761041637,180.46259932050222,111.98194402463918
2019-02-13,128.5363,402.5522,123.2579,15626.73,15.65,59.828,0.10607,-0.23425,4.0,-0.101,-0.22,0.95,119.37342505820918,180.7411269670212,112.05401905731692
2019-02-14,128.8489,407.5476,124.9327,15695.98,16.22,56.756,-0.02078,-0.2605,4.0,-0.3715,-0.22,0.95,119.34614835832339,180.43912191414154,111.90304927643903
2019-02-15,128.4707,401.7932,123.8471,15838.24,14.91,56.679,-0.08894,-0.28148,4.0,-0.4454,-0.19,0.95,119.36414022443297,180.81862770805355,112.00344772101232
